0.551,0.559,0.404,0.127,0.551,0.564,0.542,0.542,0.04,0.168,0.208,0.319,0.307,0.192,0.883,2
0.45,0.277,0.268,0.035,0.45,0.639,0.33,0.411,0.012,0.052,0.336,0.416,0.402,0.302,0.709,3
0.724,0.671,0.63,0.076,0.724,0.392,0.683,0.644,0.121,0.119,0.074,0.078,0.731,0.234,0.98,1
0.606,0.622,0.552,0.12,0.606,0.401,0.61,0.486,0.169,0.145,0.085,0.125,0.619,0.122,0.941,1
0.606,0.538,0.518,0.061,0.606,0.427,0.557,0.52,0.044,0.218,0.107,0.146,0.534,0.237,0.937,1
0.352,0.222,0.238,0.055,0.352,0.536,0.264,0.324,0.003,0.043,0.133,0.218,0.515,0.379,0.827,3
0.723,0.666,0.61,0.082,0.723,0.43,0.678,0.596,0.127,0.115,0.104,0.114,0.659,0.166,0.956,1
0.362,0.343,0.228,0.101,0.362,0.573,0.338,0.39,0.004,0.064,0.325,0.501,0.217,0.244,0.699,3
0.461,0.442,0.459,0.061,0.46,0.295,0.449,0.475,0.024,0.087,0.061,0.122,0.594,0.314,0.955,2
0.317,0.244,0.258,0.039,0.317,0.567,0.268,0.392,0.019,0.164,0.311,0.44,0.257,0.191,0.713,3
0.554,0.599,0.547,0.124,0.554,0.315,0.58,0.514,0.062,0.239,0.063,0.09,0.714,0.235,0.963,1
0.429,0.473,0.451,0.13,0.429,0.293,0.457,0.373,0.0,0.007,0.039,0.057,0.703,0.187,0.945,1
0.471,0.55,0.492,0.155,0.472,0.293,0.52,0.458,0.009,0.081,0.097,0.113,0.763,0.212,0.925,1
0.415,0.443,0.366,0.106,0.415,0.389,0.427,0.465,0.008,0.074,0.282,0.402,0.372,0.362,0.795,3
0.69,0.54,0.41,0.061,0.69,0.642,0.574,0.611,0.094,0.084,0.183,0.178,0.636,0.273,0.92,1
0.621,0.657,0.593,0.126,0.621,0.344,0.64,0.545,0.067,0.339,0.086,0.152,0.497,0.17,0.956,1
0.87,0.919,0.859,0.146,0.87,0.292,0.898,0.734,0.18,0.114,0.161,0.205,0.468,0.117,0.957,1
0.396,0.343,0.155,0.103,0.396,0.833,0.342,0.341,0.005,0.091,0.519,0.647,0.201,0.22,0.444,3
0.6,0.551,0.508,0.084,0.6,0.454,0.562,0.431,0.008,0.089,0.087,0.145,0.527,0.105,0.923,1
0.556,0.572,0.6,0.089,0.556,0.262,0.57,0.469,0.024,0.198,0.074,0.177,0.368,0.152,0.944,1
0.55,0.539,0.464,0.105,0.55,0.437,0.535,0.516,0.043,0.192,0.085,0.073,0.772,0.221,0.949,1
0.613,0.567,0.485,0.088,0.613,0.506,0.573,0.535,0.063,0.272,0.105,0.158,0.479,0.186,0.941,1
0.162,0.108,0.075,0.096,0.161,0.607,0.122,0.232,0.001,0.017,0.363,0.495,0.434,0.495,0.401,3
0.407,0.337,0.341,0.042,0.407,0.43,0.359,0.494,0.017,0.096,0.222,0.318,0.445,0.426,0.853,3
0.403,0.367,0.255,0.095,0.403,0.617,0.367,0.427,0.009,0.061,0.255,0.383,0.294,0.265,0.789,3
0.33,0.315,0.205,0.089,0.33,0.586,0.309,0.332,0.002,0.027,0.128,0.304,0.303,0.288,0.837,3
0.549,0.596,0.496,0.14,0.549,0.411,0.572,0.555,0.033,0.152,0.232,0.348,0.293,0.179,0.874,2
0.477,0.551,0.589,0.129,0.478,0.129,0.532,0.465,0.008,0.058,0.029,0.05,0.741,0.242,0.976,1
0.6,0.634,0.605,0.113,0.6,0.286,0.621,0.539,0.086,0.301,0.046,0.032,0.891,0.231,0.978,1
0.262,0.271,0.187,0.096,0.262,0.547,0.26,0.28,0.001,0.008,0.156,0.232,0.467,0.175,0.763,3
0.304,0.264,0.248,0.05,0.304,0.511,0.275,0.391,0.013,0.111,0.207,0.318,0.387,0.341,0.803,3
0.701,0.566,0.431,0.072,0.701,0.64,0.595,0.542,0.047,0.147,0.063,0.099,0.582,0.202,0.968,1
0.256,0.252,0.091,0.093,0.256,0.638,0.238,0.317,0.003,0.028,0.086,0.179,0.533,0.419,0.874,3
0.224,0.278,0.204,0.128,0.224,0.444,0.254,0.237,0.0,0.001,0.054,0.122,0.545,0.276,0.864,2
0.464,0.435,0.39,0.08,0.464,0.449,0.44,0.461,0.021,0.119,0.082,0.173,0.424,0.212,0.936,2
0.161,0.197,0.168,0.079,0.161,0.292,0.183,0.302,0.0,0.015,0.161,0.262,0.588,0.597,0.778,3
0.498,0.474,0.498,0.114,0.498,0.34,0.484,0.538,0.019,0.132,0.281,0.357,0.393,0.311,0.837,3
0.489,0.508,0.487,0.108,0.489,0.317,0.501,0.421,0.002,0.035,0.037,0.069,0.635,0.181,0.96,1
0.429,0.473,0.451,0.13,0.429,0.293,0.457,0.373,0.0,0.007,0.039,0.057,0.703,0.187,0.945,1
0.357,0.429,0.292,0.161,0.357,0.512,0.394,0.309,0.0,0.004,0.116,0.25,0.302,0.138,0.835,2
0.234,0.206,0.203,0.053,0.234,0.481,0.214,0.277,0.009,0.039,0.134,0.222,0.452,0.268,0.788,3
0.588,0.555,0.528,0.073,0.588,0.38,0.563,0.558,0.116,0.126,0.092,0.115,0.667,0.261,0.955,1
0.354,0.355,0.401,0.051,0.354,0.224,0.359,0.368,0.0,0.009,0.096,0.195,0.463,0.307,0.89,2
0.787,0.82,0.748,0.134,0.787,0.344,0.803,0.75,0.128,0.118,0.193,0.216,0.48,0.158,0.947,1
0.001,0.029,0.035,0.024,0.0,0.236,0.021,0.142,0.001,0.012,0.097,0.072,1.0,0.753,0.683,3
0.37,0.381,0.4,0.088,0.37,0.284,0.38,0.34,0.001,0.012,0.064,0.168,0.411,0.194,0.908,2
0.269,0.24,0.195,0.053,0.269,0.483,0.245,0.34,0.003,0.028,0.076,0.146,0.592,0.379,0.896,3
0.541,0.471,0.463,0.057,0.541,0.428,0.492,0.479,0.034,0.203,0.123,0.204,0.418,0.192,0.913,2
0.496,0.559,0.592,0.122,0.497,0.164,0.543,0.465,0.035,0.161,0.063,0.077,0.758,0.18,0.951,1
0.45,0.473,0.397,0.107,0.45,0.397,0.459,0.445,0.017,0.111,0.072,0.12,0.597,0.306,0.94,1
0.212,0.242,0.183,0.108,0.212,0.543,0.227,0.239,0.003,0.017,0.269,0.294,0.381,0.145,0.553,3
0.145,0.146,0.131,0.048,0.145,0.311,0.144,0.269,0.0,0.007,0.139,0.21,0.706,0.712,0.774,3
0.278,0.315,0.265,0.114,0.278,0.457,0.299,0.378,0.007,0.073,0.186,0.322,0.287,0.168,0.813,2
0.623,0.496,0.427,0.065,0.623,0.601,0.529,0.517,0.05,0.219,0.138,0.154,0.585,0.187,0.916,1
0.468,0.541,0.449,0.152,0.468,0.36,0.509,0.439,0.001,0.013,0.054,0.053,0.785,0.176,0.951,1
0.331,0.32,0.307,0.075,0.331,0.367,0.322,0.297,0.0,0.0,0.016,0.025,0.764,0.232,0.944,1
0.43,0.342,0.319,0.047,0.43,0.63,0.367,0.454,0.021,0.133,0.201,0.288,0.312,0.144,0.847,3
0.544,0.51,0.554,0.054,0.544,0.306,0.525,0.505,0.07,0.355,0.15,0.284,0.299,0.182,0.905,2
